,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Score - Final,Difference
52,52,annual_inc:20K-30K,-0.10613165397912888,0.014124656830818393,annual_inc,-8.139628758624223,-8.0,-8.0,0.13962875862422308
53,53,annual_inc:30K-40K,-0.04893544843121834,0.23971683996249415,annual_inc,-3.7530403836469706,-4.0,-4.0,-0.24695961635302943
54,54,annual_inc:40K-50K,0.04954881984432842,0.2332056470110856,annual_inc,3.8000821040638657,4.0,4.0,0.1999178959361343
55,55,annual_inc:50K-60K,0.11194043653138006,0.007782475309714748,annual_inc,8.585125759209895,9.0,9.0,0.4148742407901054
56,56,annual_inc:60K-70K,0.1890110703121246,1.113768995861251e-05,annual_inc,14.495957482330969,14.0,14.0,-0.4959574823309687
57,57,annual_inc:70K-80K,0.25788358553990814,4.1976361758230265e-09,annual_inc,19.778045197058326,20.0,20.0,0.22195480294167425
58,58,annual_inc:80K-90K,0.3306847049697292,4.334362477479607e-13,annual_inc,25.361432086398047,25.0,25.0,-0.3614320863980467
59,59,annual_inc:90K-100K,0.35240426048904416,8.588558980108454e-14,annual_inc,27.027185064904515,27.0,27.0,-0.02718506490451489
60,60,annual_inc:100K-120K,0.428314962424855,6.484531255201537e-20,annual_inc,32.84905732825006,33.0,33.0,0.15094267174993803
61,61,annual_inc:120K-140K,0.5179161476962362,1.7904149279474434e-22,annual_inc,39.72090335248308,40.0,40.0,0.27909664751692276
62,62,annual_inc:>140K,0.45554558675027246,2.1857095562578234e-20,annual_inc,34.93747453993365,35.0,35.0,0.06252546006634674
63,63,dti:<=1.4,-0.16769771271059547,0.052377932542306216,dti,-12.861357323264713,-13.0,-13.0,-0.1386426767352873
64,64,dti:1.4-3.5,-0.0099066149258226,0.891071082356231,dti,-0.7597749090643491,-1.0,-1.0,-0.24022509093565092
65,65,dti:3.5-7.7,0.019345730058052537,0.757009509947819,dti,1.4836955312886377,1.0,1.0,-0.48369553128863774
66,66,dti:7.7-10.5,-0.04319493236005656,0.4862917237307809,dti,-3.3127789917783232,-3.0,-3.0,0.31277899177832325
67,67,dti:10.5-16.1,-0.12364215154755986,0.03939429033613681,dti,-9.482573528088093,-9.0,-9.0,0.48257352808809273
68,68,dti:16.1-20.3,-0.2227155180977648,0.00020948888453863705,dti,-17.08087613952532,-17.0,-17.0,0.08087613952531925
69,69,dti:20.3-21.7,-0.24096475099030198,0.00011977768910118393,dti,-18.480477251029132,-18.0,-18.0,0.4804772510291322
70,70,dti:21.7-22.4,-0.2663913905734783,6.435081449210667e-05,dti,-20.430540206112212,-20.0,-20.0,0.43054020611221233
71,71,dti:22.4-35,-0.2685852038615478,6.282641380594165e-06,dti,-20.598791854523668,-21.0,-21.0,-0.4012081454763319
72,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
73,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
74,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
75,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
76,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
77,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
78,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
79,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
80,8,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
81,9,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
82,10,pub_rec:0-2,0.0,,pub_rec,0.0,0.0,0.0,0.0
83,11,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
84,12,total_rev_hi_lim:<=5K,0.0,,total_rev_hi_lim,0.0,0.0,0.0,0.0
85,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
86,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
